filepath,label
dataset\Tomato___Early_blight\6ccc0cdb-d420-4bc6-9a1a-d195a0521c19___RS_Erly.B 9437_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\fc849a80-15fd-486d-bedc-0239e1278660___RS_HL 0494_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\0fe8eb74-5520-4870-a069-d4f54b99d719___GCREC_Bact.Sp 6330_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\ab089362-3c95-4c44-9f33-60f1fbdb15a1___GCREC_Bact.Sp 6288_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\e22dc874-f57d-4b17-bc6d-7d35bdbadc35___GHLB2 Leaf 8663_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\a710379a-3b85-435c-8b46-7a177b42ff52___GHLB2 Leaf 8906_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\fb160354-fa8d-4833-8a3a-acd8507dd9de___GCREC_Bact.Sp 3334_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\c42bf2e8-ccff-4c88-aa15-8f64e2577173___UF.GRC_BS_Lab Leaf 9073_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\1c5d49ef-1d7e-4b76-b33a-da162fe99eb2___GCREC_Bact.Sp 3506_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\4d02e3e4-c583-402a-adc0-b258c8a3384f___UF.GRC_BS_Lab Leaf 0287_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\6c9e726b-8574-4f84-81c3-271e093f8bf2___GCREC_Bact.Sp 3350_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\3d89871d-557a-414e-b726-8f4ba18d30e4___GHLB2 Leaf 8922_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\4e24576f-00c2-494f-b47b-b2b3885b4749___RS_Erly.B 8279_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\b0a3026d-9c2e-4615-9e1a-0f14c27632bb___GCREC_Bact.Sp 5902_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\9ec6c8fd-4dfe-4dc6-bc1f-72488053da67___GHLB Leaf 2.4 Day 12_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\8c3a26fe-2c28-4f55-9a5b-3d8b2be54502___GCREC_Bact.Sp 3682_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\0ed6d8f5-dd9f-4f1d-a33d-2f556be12a27___UF.GRC_BS_Lab Leaf 0291_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\acdbf632-8d26-472d-874f-6d7df5cd0432___RS_HL 9897_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\d7dd7c0b-8c0f-46e7-88df-18e6f4e01e0b___RS_Erly.B 7687_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\8c556686-072a-4d3a-aad6-4e5534611f03___GCREC_Bact.Sp 5825_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\3b87f866-1d80-4b22-99f8-108e315c9029___RS_HL 0394_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\a86b02a2-3f97-4ce9-a9ff-1a77c36f9e4d___GHLB2 Leaf 8903_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\382cc2c9-3ac9-444d-9638-72ab527ac1b9___RS_Late.B 6711_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\f2c089b3-34a5-4300-848f-a0d6eebcb756___RS_Late.B 5174_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\cd97ced1-2870-4f00-b7c7-37b8903378b9___RS_Late.B 6926_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\15e1e8d7-e05a-4dc1-b872-364b15f004f0___RS_Late.B 4873_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\86e15a0a-ec2c-4fdc-8ffd-f11ddd200309___GCREC_Bact.Sp 3524_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\dd311971-e56c-4305-805e-a011ecebd38b___GH_HL Leaf 432_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\4f47d31b-0890-49a7-ab33-8b5865cb8843___GHLB2 Leaf 80_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\a154b0c0-ad46-47ec-b9f4-50a4ee625849___RS_HL 9827_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\c8fbd03f-4935-4199-8f8d-7bc1cc9e024d___GHLB2 Leaf 8941_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\d461b7c8-4c81-4309-8ccd-4400ddbb25aa___RS_HL 0586_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\0a3f65fc-ef1c-4aed-b235-46bae4e5c0e7___GHLB2 Leaf 9065_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\fb25aff6-5c78-42d9-b9af-9181811ac18b___GCREC_Bact.Sp 5788_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\a0be793f-3831-4101-9142-69986edb313e___UF.GRC_BS_Lab Leaf 0801_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\40de149e-4734-4d63-a34a-7ab34ace1ae5___RS_Late.B 6126_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\b2b3acc9-66f5-4451-9103-deaca3797430___GCREC_Bact.Sp 3446_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\b485c91b-36c7-42be-9572-69327a0ece88___RS_HL 9678_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\3754ec0a-13b7-40c5-9839-b7499b6c365b___RS_Erly.B 7449_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\d56b1f3a-0840-4c5d-87bf-68476ec57b97___GCREC_Bact.Sp 5681_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\9c3a4307-482e-4323-9a3d-00ebadb616d2___UF.GRC_BS_Lab Leaf 0751_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\612a4230-6e25-4506-a91c-86854d203205___UF.GRC_BS_Lab Leaf 0756_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\e5266d06-0ba7-49c6-9bc6-c8351b56fc88___RS_Erly.B 8294_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\76ca83b8-0695-470d-a715-2fcb9efb4fc4___RS_Late.B 5062_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\6e45480a-127e-4173-9402-7b724728a139___RS_Late.B 4837_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\2fb5c266-b7ec-4b31-91b4-3f2dc9b0cdcb___RS_HL 0147_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\589a6ce6-fa0d-4b2a-9f83-59f103aa8afa___GCREC_Bact.Sp 3146_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\b995ac55-e42d-4fb6-9b91-310a4d046c21___RS_HL 9668_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\47362660-a262-4ffb-ae99-68b699b3ecb7___RS_HL 0006_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\6aa07949-08b2-4945-a535-3f8b49f86599___GCREC_Bact.Sp 6344_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\bf014d78-5f3a-4748-a026-dc80d95cbc3f___GHLB2 Leaf 164_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\dbd289fc-1399-44fe-968d-39a5a4f16679___RS_HL 0495_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\bb72c8b2-9f96-4320-8062-e7b47839a39b___GCREC_Bact.Sp 3266_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\ae745e4a-eecc-40dd-b860-25bdee6729e3___GH_HL Leaf 417.2_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\0f9a114d-1df8-442c-90e7-d14d2f6efb23___RS_HL 9964_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\d5633146-eac5-49e6-a6b4-8562aa7d1a1f___GH_HL Leaf 283.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\717a4bbc-52b1-42c1-a718-ca94744ff52d___RS_HL 9726_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\1eca836c-208e-40a8-a69c-fb7232d92368___GCREC_Bact.Sp 6110_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\4ce6844e-2a92-47aa-9115-0eb1a9a0611c___GH_HL Leaf 464.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\fce57140-eb13-4c01-8a18-88dc5e8a75dc___RS_Late.B 4923_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\d730c413-51de-4f47-86bd-e0763f5a5298___GHLB2 Leaf 8894_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\2f5aefb2-4bdc-4a55-81e3-c19a6982b605___RS_Late.B 4856_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\759331b9-f9ad-4bb7-9870-6cd3a8b84913___GCREC_Bact.Sp 5561_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\f43df4fe-4544-4831-b9f9-a3c7b470b0e0___RS_Late.B 6801_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\9116dd54-7abc-4e0e-b477-c7f361b8def4___GCREC_Bact.Sp 5899_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\5ec38b83-47c5-460d-a465-2b8b89e5ce55___GCREC_Bact.Sp 3231_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\8387d34a-777f-457f-82ed-24856d75f0cc___RS_Erly.B 6394_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\b921c832-358f-4a39-9e62-486d947aae2b___GCREC_Bact.Sp 5888_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\9d8aacaf-ef28-4f23-a18d-4035f59d92b1___RS_Erly.B 7565_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\f37f0878-31f2-402b-81c6-dd1af6e15899___RS_Late.B 5222_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\0abc57ec-7f3b-482a-8579-21f3b2fb780b___RS_Erly.B 7609_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\f4d64977-50b0-4967-87cf-95f282f287d4___RS_HL 0554_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\5c438fb1-fb2e-4672-b035-2a1581efa729___GCREC_Bact.Sp 5550_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\94c26dee-30cd-4033-9009-4851daa1e00b___RS_Late.B 5068_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\cd8d1ae6-2c8e-43ac-8314-77d88e1153c7___GH_HL Leaf 365_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\bbe6db0b-868d-4ca4-b8c7-f274b89dd9c8___GHLB2 Leaf 68.1_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\0a9986e6-b629-4ff5-8aab-7488ea9b935b___RS_HL 9704_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\25bfd51b-6db7-42a5-9990-992f52a0c836___GHLB2 Leaf 61_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\e0d4c623-8305-4ded-8164-d8fcd5bc2016___RS_HL 0448_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\8b4f1638-2795-4da0-8aa6-06792870bf86___GCREC_Bact.Sp 3591_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\53dfd9b5-4486-48c6-96c7-08cf93e0aff2___GHLB2 Leaf 9022_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\e6fdaad9-b536-46c3-a819-faf414cfbf47___GH_HL Leaf 500.2_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\b3813caa-82f2-4b9b-a5ef-a9f0db6f08bf___GH_HL Leaf 466_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\b840b04b-5909-4e35-beb8-7f53098975b1___RS_HL 0324_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\859a134c-51f7-4294-bd1a-78140d775bca___RS_Erly.B 8327_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\49c34c1b-08a8-4bdd-a933-0eb4daff5f97___GCREC_Bact.Sp 3501_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\b984cd6b-35cc-4f3d-824f-b663d08cae6b___GHLB2 Leaf 57_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\ee7a6de8-1aca-4a55-8c12-69be6277c1c1___RS_Erly.B 9591_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Early_blight\e7d248e4-a5e5-431f-9061-6383c14d8526___RS_Erly.B 7426_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\71c4512d-05ba-456f-ba4e-f2861b7e7837___RS_HL 0390_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\dda45973-b7a1-4080-93a2-bd7cd3e3026f___RS_Erly.B 8407_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\f5ac235b-3d9c-46a8-9e0a-750423e067bb___GCREC_Bact.Sp 6291_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\801083ae-26f9-4a9a-9e9a-f73fb18b67e5___RS_Erly.B 7363_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\7140eec5-60f1-49bb-a0dd-4cea65897848___UF.GRC_BS_Lab Leaf 9310_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\5b71f955-289e-4279-896c-b79d69c8dd5e___RS_Late.B 6495_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\1af0bfe1-4bcf-4b8b-be66-5d0953eb647e___GH_HL Leaf 482.2_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\bfe43257-51c4-40c9-8989-a193b19ee2ed___GCREC_Bact.Sp 6111_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\f25bcf32-3bf7-4137-9d9a-ab195d4f7d3f___GHLB2 Leaf 9049_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\06a7cfd9-0992-4020-8a11-79249d657c0c___GHLB2 Leaf 131_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\a45cff7d-8ae1-4de9-8479-cb0d2dfc6b0f___RS_HL 9863_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\01a68044-9c5b-4658-a944-6108c6862ce7___GHLB Leaf 2.1 Day 16_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\070679a9-27e1-4e6e-8072-29f3750d525b___RS_Erly.B 6439_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\6c8f3087-94d6-4cfb-83cd-93a59f2a646a___RS_HL 0433_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\4780302b-3329-4f1f-a697-67698af1d261___RS_Late.B 6319_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\de272472-c653-4102-beac-6813da817d21___GHLB2 Leaf 153.2_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\fd27de23-27cd-4f09-a962-df0b26899b07___RS_HL 0039_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\1528d8ea-c972-4da3-8f66-b4a0de6ace90___RS_HL 0573_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\f73231ab-afd2-4d01-acd2-7ba229349de6___RS_Late.B 6969_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\e1517f9b-6bab-415b-b8f5-1f52dd544b2d___RS_HL 0203_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\2f6eb969-db8b-48ae-954d-f716a61fce22___RS_Late.B 6555_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\e4dad7d3-b043-4dc9-9b41-0df12c1a6823___GCREC_Bact.Sp 5822_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\3c7a5a88-18d4-4b74-ba9f-df25a5927c92___UF.GRC_BS_Lab Leaf 0371_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\afb626cf-c9bf-498f-bdf2-c0286d96f681___GHLB2 Leaf 147.1_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\01e079ba-939a-4681-8983-db663f4a859b___GCREC_Bact.Sp 3029_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\df13d0be-1ef9-4371-bf7f-bedb930fc190___RS_Late.B 4846_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\3b05e678-aa3c-47c6-9ebd-0650efd82b16___GH_HL Leaf 399_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\c7db2891-1bfa-4047-8864-66be6cc9e185___RS_HL 0162_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\61f57acc-088f-45e0-b0b5-860120082ae9___RS_Erly.B 7388_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\6d223371-fa3d-496d-a583-cb521b7c203d___GCREC_Bact.Sp 3540_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\bb1be648-63dc-4973-8c88-f3de0dff30f4___RS_Late.B 6030_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\ebe561c5-4d97-4008-a998-a7c02ed6d3d3___GHLB2 Leaf 87_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\cd30b663-6808-4c13-9c04-c7aff5fae382___RS_Late.B 5310_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\d418610e-e676-4722-b84a-6de973499fa9___RS_Erly.B 9425_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\608ca2c7-8302-4863-a04b-6919da642ae9___GCREC_Bact.Sp 3070_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\10bdda57-bfe5-4403-a4c6-a1211d4f348e___GHLB_PS Leaf 20 Day 8_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\e1959167-b7b2-49e3-b5ce-4c5665022ada___RS_HL 0127_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\9ed83599-49d6-479c-a69b-a133d9aee606___GHLB_PS Leaf 1.3 Day 13_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\5c0dc87a-f671-4085-93c5-1454ee859caf___RS_Late.B 6271_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\c2d71717-0650-4ab0-859e-a7390243b2bc___RS_Late.B 6443_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\6246e722-c34f-46cf-b670-0f403456cea1___RS_HL 9969_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\2dd36c99-7454-499f-8ff5-d25a01568d33___GHLB2 Leaf 99_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\f0765e3f-e21f-4b0f-ae02-0ac9de9cfb0e___GCREC_Bact.Sp 3825_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\51d27c5f-eb9d-46c7-a91f-e83c3433b5d3___GCREC_Bact.Sp 3809_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\5b2bff7b-208c-4ec6-adfd-b60b081916c1___GCREC_Bact.Sp 5955_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\cf2e943e-c8d7-43eb-a137-72f6b67b187a___RS_Late.B 7192_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\199f4f32-6e91-4031-b861-bac1abe3452a___RS_HL 9763_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\94b68133-38b9-41e4-bb22-131f28bcba20___GCREC_Bact.Sp 6292_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\69c8f994-3b9e-4629-9fb9-d06a9cca522e___GCREC_Bact.Sp 5875_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\7e2d95d8-61e7-4b3f-8425-a6bfd53e8490___UF.GRC_BS_Lab Leaf 0402_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Early_blight\4a063384-a4c0-4acc-a787-8236eb40a54e___RS_Erly.B 8281_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\55bcfcce-70f4-4634-8107-0a8207da2b14___GH_HL Leaf 317.2_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\2598e4ba-1e3c-43f7-bb7d-da6164209acf___RS_Late.B 4850_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\9f496d43-f56d-4afa-99d9-7ac5fc9d9966___RS_Erly.B 9419_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Early_blight\bec8a4aa-dd9c-44db-815a-c760d49a8868___RS_Erly.B 7680_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Early_blight\f51330a5-e187-434f-add0-bd89f488eeee___RS_Erly.B 7699_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\a202fc9d-50ed-43eb-9a75-348348549924___GHLB2 Leaf 8736_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\b25eff13-2674-4954-a6b8-bbd05ebbe154___GHLB2 Leaf 114.3_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\d707ecc4-8ccf-4373-8d0f-ccf4a5f9fa2d___UF.GRC_BS_Lab Leaf 9171_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\7f9db1b1-be27-463e-a47f-18e680239b3d___UF.GRC_BS_Lab Leaf 0616_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\93fb2f61-879a-441a-a446-5789c81b4249___UF.GRC_BS_Lab Leaf 0432_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\dc3f2b4a-e8ee-4934-8d79-cd1d1bc6a303___GCREC_Bact.Sp 3760_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\7aa199e5-4228-409c-84c2-8cd070af2b87___GHLB Leaf 2.1 Day 12_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\7048f52e-7b68-43d2-81d7-a146d5a73407___GHLB2 Leaf 8708_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\60196a6c-a134-4107-8178-d1bb47450cee___GHLB Leaf 23.1 Day 9_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\d029a830-f39c-4668-b413-45b69e2b3640___RS_Late.B 4841_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\293dddf9-f5e5-42de-ab68-f1cad0f69a43___GH_HL Leaf 232_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\4d88d7a6-b49c-4927-81de-60b6b807c839___RS_Erly.B 7655_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\2f08688f-f6ea-4772-bfa3-5a995e38988c___GHLB2 Leaf 8827_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\1aa88c5b-384f-43cf-8046-0d32d26a1133___GHLB Leaf 24 Day 12_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\d08bee32-4f76-4a08-9158-69fe55da2ddb___GHLB Leaf 23 Day 12_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\3a2f31aa-b3e1-45a0-b0e6-2ffe3a2538b2___RS_Erly.B 9393_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\9b75e0b6-342b-4409-a02d-598e661160a6___GHLB2 Leaf 75_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\531d1dc7-d864-4464-b2ad-1fc76f825021___GHLB2 Leaf 8742_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\1869d21d-5461-4378-bddb-8de766b836f7___GHLB Leaf 12 Day 6_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\7ee078a8-218e-4ebf-8935-ec9f844ab744___GH_HL Leaf 212.9_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\4916cbbb-a567-4263-a56d-521abadfb0b8___RS_HL 0480_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\06913075-dad1-4047-b5a2-74fe680efa3b___RS_Late.B 6048_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\268422eb-2e4a-433b-bad2-d5e63a5e765d___GCREC_Bact.Sp 3466_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\b9e6992c-f73a-410e-8b06-a6ce96192c6a___GHLB2 Leaf 9077_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\e03114a0-8053-460a-b653-eef873b1c531___RS_Late.B 5532_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Bacterial_spot\98f8190e-9d84-4962-a833-a48643a91d4d___GCREC_Bact.Sp 3753_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\366e33bd-7e1a-45b5-a473-374636bbcf02___GHLB2 Leaf 160_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\765d8e2a-ebad-4fd5-a968-a9d21986268d___RS_Erly.B 6481_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\5c5a2e9e-e460-403e-9d8a-f961b1f10935___RS_Late.B 5133_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\2b5bebdd-3af4-41ca-b206-efc1a141e71d___RS_Erly.B 6363_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Bacterial_spot\9e7f767c-fdc0-4b28-9195-43ee57f8ecb1___GCREC_Bact.Sp 3356_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___healthy\7521718e-614b-4de0-ba94-f587b0113a69___RS_HL 0145_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\2dce98fb-99da-4f38-8ade-2a9c2dfe6599___GCREC_Bact.Sp 3482_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\231e8502-72a3-4717-9ab7-919d02f6be1b___GHLB_PS Leaf 27.4 Day 13_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\0d3691ab-5413-4313-870e-9e5d2faf33ea___RS_HL 9958_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\ee18e688-a12c-45aa-bd18-74df670c71bb___RS_Erly.B 7776_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___healthy\3a1c6737-c9ff-44dc-9014-954753732160___GH_HL Leaf 406.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Late_blight\63184ff1-7a41-4cc3-9ff8-0ad46c45944a___GHLB2 Leaf 8614_final_masked.jpg,Tomato___Late_blight
